2019-08-26 08:15:20,447 [Worker-12] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-08-26 08:20:19,958 [Worker-6] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-08-26 08:20:47,954 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @45829ms to org.eclipse.jetty.util.log.Slf4jLog
2019-08-26 08:20:48,137 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.8.v20171121, build timestamp: 2017-11-21T16:27:37-05:00, git hash: 82b8fb23f757335bb3329d540ce37a2a2615f0a8
2019-08-26 08:20:48,166 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2019-08-26 08:20:48,167 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2019-08-26 08:20:48,168 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2019-08-26 08:20:48,200 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@5a8cc632{/help,null,AVAILABLE}
2019-08-26 08:20:48,229 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@69943a72{HTTP/1.1,[http/1.1]}{127.0.0.1:63312}
2019-08-26 08:20:48,230 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @46106ms
2019-08-26 09:25:24,943 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@69943a72{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2019-08-26 09:25:24,944 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2019-08-26 09:25:24,957 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@5a8cc632{/help,null,UNAVAILABLE}
